E10000002,Buckinghamshire [County]
E10000006,Cumbria [County]
E10000003,Cambridgeshire [County]
E10000011,East Sussex [County]
E10000007,Derbyshire [County]
E10000008,Devon [County]
E10000009,Dorset [County]
E10000013,Gloucestershire [County]
E10000012,Essex [County]
E10000017,Lancashire [County]
E10000016,Kent [County]
E10000015,Hertfordshire [County]
E10000018,Leicestershire [County]
E10000014,Hampshire [County]
E10000019,Lincolnshire [County]
E10000021,Northamptonshire [County]
E10000023,North Yorkshire [County]
E10000020,Norfolk [County]
E10000024,Nottinghamshire [County]
E10000025,Oxfordshire [County]
E10000028,Staffordshire [County]
E10000027,Somerset [County]
E10000030,Surrey [County]
E10000031,Warwickshire [County]
E10000029,Suffolk [County]
E10000032,West Sussex [County]
E10000034,Worcestershire [County]
