Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority
AB1 0AA,No,57.101478,-2.242852,385386,801193,NJ853011,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",,46,,S01006514,
AB1 0AB,No,57.102558,-2.246309,385177,801314,NJ851013,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",,61,,S01006514,
AB1 0AD,No,57.10056,-2.248342,385053,801092,NJ850010,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",,45,,S01006514,
AB1 0AE,No,57.084447,-2.255708,384600,799300,NO846993,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1994-02-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",,51,,S01006853,
AB1 0AF,No,57.096659,-2.258103,384460,800660,NJ844006,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1990-12-01,1992-07-01,"","",,,"","","Culter - 06","Accessible small town",,46,,S01006511,
AB1 0AG,No,57.097089,-2.267513,383890,800710,NJ838007,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1990-12-01,1992-07-01,"","",,,"","","Culter - 01","Accessible small town",,58,,S01006506,
AB1 0AJ,No,57.099015,-2.252854,384779,800921,NJ847009,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",,46,,S01006514,
AB1 0AL,No,57.101769,-2.254688,384669,801228,NJ846012,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Culter - 06","Accessible small town",,71,,S01006511,
AB1 0AN,No,57.097556,-2.245483,385225,800757,NJ852007,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",,29,,S01006514,
AB1 0AP,No,57.098247,-2.245768,385208,800834,NJ852008,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",,30,,S01006514,
AB1 0AQ,No,57.098557,-2.252504,384800,800870,NJ848008,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",,41,,S01006514,
AB1 0AR,No,57.09136,-2.224832,386474,800063,NJ864000,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",,70,,S01006853,
AB1 0AS,No,57.083842,-2.234438,385889,799228,NO858992,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",,64,,S01006853,
AB1 0AT,No,57.089303,-2.239769,385568,799837,NO855998,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",,40,,S01006853,
AB1 0AX,No,57.095683,-2.24788,385079,800549,NJ850005,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",,17,,S01006853,
AB1 0BA,No,57.090699,-2.255867,384593,799996,NO845999,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",,29,,S01006853,
AB1 0BB,No,57.086319,-2.258592,384426,799509,NO844995,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",,43,,S01006853,
AB1 0BD,No,57.079129,-2.268852,383801,798711,NO838987,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",,32,,S01006853,
AB1 0BE,No,57.090615,-2.257483,384495,799987,NO844999,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1991-03-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",,27,,S01006853,
AB1 0BJ,No,57.081424,-2.262319,384198,798965,NO841989,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",,57,,S01006853,
